dac_inputs (V),adc_outputs
0.000000,0
0.000606,0
0.001211,0
0.001817,0
0.002422,0
0.003028,0
0.003634,0
0.004239,0
0.004845,0
0.005451,0
0.006056,0
0.006662,0
0.007267,0
0.007873,0
0.008479,0
0.009084,0
0.009690,0
0.010295,0
0.010901,0
0.011507,0
0.012112,0
0.012718,0
0.013324,0
0.013929,0
0.014535,0
0.015140,0
0.015746,0
0.016352,0
0.016957,0
0.017563,0
0.018168,0
0.018774,0
0.019380,0
0.019985,0
0.020591,0
0.021197,0
0.021802,0
0.022408,0
0.023013,0
0.023619,0
0.024225,0
0.024830,0
0.025436,0
0.026042,0
0.026647,0
0.027253,0
0.027858,0
0.028464,0
0.029070,0
0.029675,0
0.030281,0
0.030886,0
0.031492,0
0.032098,0
0.032703,0
0.033309,0
0.033915,0
0.034520,0
0.035126,0
0.035731,0
0.036337,0
0.036943,0
0.037548,0
0.038154,0
0.038759,0
0.039365,0
0.039971,0
0.040576,0
0.041182,0
0.041788,0
0.042393,0
0.042999,0
0.043604,0
0.044210,0
0.044816,0
0.045421,0
0.046027,0
0.046632,0
0.047238,0
0.047844,0
0.048449,0
0.049055,0
0.049661,0
0.050266,0
0.050872,0
0.051477,0
0.052083,0
0.052689,0
0.053294,0
0.053900,0
0.054505,0
0.055111,0
0.055717,0
0.056322,0
0.056928,0
0.057534,0
0.058139,0
0.058745,0
0.059350,0
0.059956,0
0.060562,0
0.061167,0
0.061773,0
0.062379,0
0.062984,0
0.063590,0
0.064195,0
0.064801,0
0.065407,0
0.066012,0
0.066618,0
0.067223,0
0.067829,0
0.068435,0
0.069040,0
0.069646,0
0.070252,0
0.070857,0
0.071463,0
0.072068,0
0.072674,0
0.073280,0
0.073885,0
0.074491,0
0.075096,0
0.075702,0
0.076308,0
0.076913,0
0.077519,0
0.078125,0
0.078730,0
0.079336,0
0.079941,0
0.080547,0
0.081153,0
0.081758,0
0.082364,0
0.082969,0
0.083575,0
0.084181,0
0.084786,0
0.085392,0
0.085998,0
0.086603,0
0.087209,0
0.087814,0
0.088420,0
0.089026,0
0.089631,0
0.090237,0
0.090842,0
0.091448,0
0.092054,0
0.092659,0
0.093265,0
0.093871,0
0.094476,0
0.095082,0
0.095687,0
0.096293,0
0.096899,0
0.097504,0
0.098110,0
0.098716,0
0.099321,0
0.099927,0
0.100532,0
0.101138,0
0.101744,0
0.102349,0
0.102955,0
0.103560,0
0.104166,0
0.104772,0
0.105377,0
0.105983,0
0.106589,0
0.107194,0
0.107800,0
0.108405,0
0.109011,0
0.109617,0
0.110222,0
0.110828,0
0.111433,0
0.112039,0
0.112645,0
0.113250,0
0.113856,0
0.114462,0
0.115067,0
0.115673,0
0.116278,0
0.116884,0
0.117490,0
0.118095,0
0.118701,0
0.119306,0
0.119912,0
0.120518,0
0.121123,0
0.121729,0
0.122335,0
0.122940,0
0.123546,0
0.124151,0
0.124757,0
0.125363,0
0.125968,0
0.126574,0
0.127179,0
0.127785,0
0.128391,0
0.128996,0
0.129602,0
0.130208,0
0.130813,0
0.131419,0
0.132024,0
0.132630,0
0.133236,0
0.133841,0
0.134447,0
0.135053,0
0.135658,0
0.136264,0
0.136869,0
0.137475,0
0.138081,0
0.138686,0
0.139292,0
0.139897,0
0.140503,0
0.141109,0
0.141714,0
0.142320,0
0.142926,0
0.143531,0
0.144137,0
0.144742,0
0.145348,0
0.145954,0
0.146559,0
0.147165,0
0.147770,0
0.148376,0
0.148982,0
0.149587,0
0.150193,0
0.150799,0
0.151404,0
0.152010,0
0.152615,0
0.153221,0
0.153827,0
0.154432,0
0.155038,0
0.155643,0
0.156249,0
0.156855,0
0.157460,0
0.158066,0
0.158672,0
0.159277,0
0.159883,0
0.160488,0
0.161094,0
0.161700,0
0.162305,0
0.162911,0
0.163516,0
0.164122,0
0.164728,0
0.165333,0
0.165939,0
0.166545,0
0.167150,0
0.167756,0
0.168361,0
0.168967,0
0.169573,0
0.170178,0
0.170784,0
0.171389,0
0.171995,0
0.172601,0
0.173206,0
0.173812,0
0.174418,0
0.175023,0
0.175629,0
0.176234,0
0.176840,0
0.177446,0
0.178051,0
0.178657,0
0.179263,0
0.179868,0
0.180474,0
0.181079,0
0.181685,0
0.182291,0
0.182896,0
0.183502,0
0.184107,0
0.184713,0
0.185319,0
0.185924,0
0.186530,0
0.187136,0
0.187741,0
0.188347,0
0.188952,0
0.189558,0
0.190164,0
0.190769,0
0.191375,0
0.191980,0
0.192586,0
0.193192,0
0.193797,0
0.194403,0
0.195009,0
0.195614,0
0.196220,0
0.196825,0
0.197431,0
0.198037,0
0.198642,0
0.199248,0
0.199853,0
0.200459,0
0.201065,0
0.201670,0
0.202276,0
0.202882,0
0.203487,0
0.204093,0
0.204698,0
0.205304,0
0.205910,0
0.206515,0
0.207121,0
0.207726,0
0.208332,0
0.208938,0
0.209543,0
0.210149,0
0.210755,0
0.211360,0
0.211966,1
0.212571,0
0.213177,0
0.213783,1
0.214388,0
0.214994,0
0.215600,0
0.216205,1
0.216811,0
0.217416,1
0.218022,1
0.218628,1
0.219233,1
0.219839,1
0.220444,1
0.221050,1
0.221656,1
0.222261,2
0.222867,1
0.223473,2
0.224078,1
0.224684,2
0.225289,1
0.225895,2
0.226501,1
